ID,Player,Tm,Age,Pos,Year,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
1745,Marques Colston,NOR,23,WR,2006,14,12,115,70,60.90%,1038,14.8,8,51,56.5,86,9,5,74.1,0,ColsMa00
1746,Terry Glenn,DAL,32,WR,2006,15,14,111,70,63.10%,1047,15,6,47,55.9,54,9.4,4.7,69.8,0,GlenTe00
1747,Keyshawn Johnson,CAR,34,WR,2006,16,16,128,70,54.70%,815,11.6,4,42,51.6,40,6.4,4.4,50.9,1,JohnKe00
1748,Larry Fitzgerald,ARI,23,WR,2006,13,13,111,69,62.20%,946,13.7,6,52,59.5,57,8.5,5.3,72.8,0,FitzLa00
1749,Javon Walker,DEN,28,WR,2006,16,16,126,69,54.80%,1084,15.7,8,53,49.2,83,8.6,4.3,67.8,0,WalkJa00
1750,Derrick Mason,BAL,32,WR,2006,16,15,112,68,60.70%,750,11,2,45,51.8,38,6.7,4.3,46.9,1,MasoDe00
1751,Mark Clayton,BAL,24,WR,2006,16,12,113,67,59.30%,939,14,5,42,45.1,87,8.3,4.2,58.7,0,ClayMa01
1752,Wes Welker,MIA,25,WR,2006,16,2,100,67,67.00%,687,10.3,1,33,51,38,6.9,4.2,42.9,3,WelkWe00
1753,Plaxico Burress,NYG,29,WR,2006,15,15,116,63,54.30%,988,15.7,10,43,47.4,55,8.5,4.2,65.9,2,BurrPl00
1754,Darrell Jackson,SEA,28,WR,2006,13,13,112,63,56.30%,956,15.2,10,44,46.4,72,8.5,4.8,73.5,1,JackDa00
1755,Ronald Curry,OAK,27,WR,2006,16,4,89,62,69.70%,727,11.7,1,40,57.3,39,8.2,3.9,45.4,0,CurrRo01
1756,Joey Galloway,TAM,35,WR,2006,16,14,143,62,43.40%,1057,17,7,44,39.9,64,7.4,3.9,66.1,0,GallJo00
1757,Reche Caldwell,NWE,27,WR,2006,16,14,102,61,59.80%,760,12.5,4,41,50,62,7.5,3.8,47.5,2,CaldRe00
1758,Braylon Edwards,CLE,23,WR,2006,16,15,125,61,48.80%,884,14.5,6,38,40,75,7.1,3.8,55.3,0,EdwaBr00
1759,Muhsin Muhammad,CHI,33,WR,2006,16,16,117,60,51.30%,863,14.4,5,45,47.9,40,7.4,3.8,53.9,1,MuhaMu00
1760,Arnaz Battle,SFO,26,WR,2006,16,15,85,59,69.40%,686,11.6,3,36,56.5,56,8.1,3.7,42.9,2,BattAr00
1761,Chris Chambers,MIA,28,WR,2006,16,16,154,59,38.30%,677,11.5,4,36,31.8,46,4.4,3.7,42.3,0,ChamCh00
1762,Eric Moulds,HOU,33,WR,2006,16,16,78,57,73.10%,557,9.8,1,32,56.4,29,7.1,3.6,34.8,1,MoulEr00
1763,Travis Taylor,MIN,28,WR,2006,16,16,87,57,65.50%,651,11.4,3,29,49.4,36,7.5,3.6,40.7,2,TaylTr01
1764,Marty Booker,MIA,30,WR,2006,14,13,90,55,61.10%,747,13.6,6,36,50,52,8.3,3.9,53.4,0,BookMa00
1765,Santana Moss,WAS,27,WR,2006,14,14,101,55,54.50%,790,14.4,6,36,48.5,68,7.8,3.9,56.4,2,MossSa00
1766,Deion Branch,SEA,27,WR,2006,14,13,101,53,52.50%,725,13.7,4,40,45.5,38,7.2,3.8,51.8,0,BranDe00
1767,Eddie Kennison,KAN,33,WR,2006,16,16,101,53,52.50%,860,16.2,5,41,46.5,51,8.5,3.3,53.8,0,KennEd00
1768,Rod Smith,DEN,36,WR,2006,16,16,94,52,55.30%,512,9.8,3,34,47.9,20,5.4,3.3,32,2,SmitRo01
1769,Reggie Williams,JAX,23,WR,2006,16,14,91,52,57.10%,616,11.8,4,28,46.2,48,6.8,3.3,38.5,1,WillRe00
1770,Bernard Berrian,CHI,26,WR,2006,15,14,102,51,50.00%,775,15.2,6,32,38.2,62,7.6,3.4,51.7,2,BerrBe00
1771,Santonio Holmes,PIT,22,WR,2006,16,4,86,49,57.00%,824,16.8,2,40,55.8,67,9.6,3.1,51.5,5,HolmSa00
1772,Peerless Price,BUF,30,WR,2006,16,15,78,49,62.80%,402,8.2,3,20,44.9,25,5.2,3.1,25.1,1,PricPe00
1773,Eric Parker,SDG,27,WR,2006,15,12,70,48,68.60%,659,13.7,0,35,60,38,9.4,3.2,43.9,0,ParkEr00
1774,Drew Bennett,TEN,28,WR,2006,16,15,98,46,46.90%,737,16,3,36,41.8,39,7.5,2.9,46.1,2,BennDr00
1775,Reggie Brown,PHI,25,WR,2006,16,15,88,46,52.30%,816,17.7,8,34,52.3,60,9.3,2.9,51,0,BrowRe01
1776,D.J. Hackett,SEA,25,WR,2006,14,5,66,45,68.20%,610,13.6,4,33,65.2,47,9.2,3.2,43.6,0,HackD.00
1777,Greg Jennings,GNB,23,WR,2006,14,11,104,45,43.30%,632,14,3,29,38.5,75,6.1,3.2,45.1,1,JennGr00
1778,Troy Brown,NWE,35,WR,2006,16,9,75,43,57.30%,384,8.9,4,28,50.7,23,5.1,2.7,24,0,BrowTr00
1779,Randy Moss,OAK,29,WR,2006,13,13,96,42,43.80%,553,13.2,3,27,42.7,51,5.8,3.2,42.5,0,MossRa00
1780,Matt Jones,JAX,23,WR,2006,14,4,76,41,53.90%,643,15.7,4,33,47.4,49,8.5,2.9,45.9,1,JoneMa00
1781,Samie Parker,KAN,25,WR,2006,16,15,68,41,60.30%,561,13.7,1,32,54.4,43,8.3,2.6,35.1,0,ParkSa00
1782,Antonio Bryant,SFO,25,WR,2006,14,13,91,40,44.00%,733,18.3,3,29,37.4,72,8.1,2.9,52.4,0,BryaAn00
1783,Kevin Curtis,STL,28,WR,2006,16,1,57,40,70.20%,479,12,4,26,59.6,42,8.4,2.5,29.9,1,CurtKe00
1784,Bryant Johnson,ARI,25,WR,2006,16,8,74,40,54.10%,740,18.5,4,30,45.9,58,10,2.5,46.3,1,JohnBr02
1785,Joe Jurevicius,CLE,32,WR,2006,13,8,65,40,61.50%,495,12.4,3,31,55.4,52,7.6,3.1,38.1,0,JureJo00
1786,Michael Jenkins,ATL,24,WR,2006,16,16,83,39,47.00%,436,11.2,7,22,38.6,34,5.3,2.4,27.3,0,JenkMi00
1787,Donte' Stallworth,PHI,26,WR,2006,12,11,70,38,54.30%,725,19.1,5,30,52.9,84,10.4,3.2,60.4,0,StalDo00
1788,Joe Horn,NOR,34,WR,2006,10,9,61,37,60.70%,679,18.4,4,28,60.7,72,11.1,3.7,67.9,0,HornJo00
1789,Troy Williamson,MIN,23,WR,2006,14,11,76,37,48.70%,455,12.3,0,22,40.8,46,6,2.6,32.5,0,WillTr01
1790,Cedrick Wilson,PIT,28,WR,2006,15,12,69,37,53.60%,504,13.6,1,25,49.3,38,7.3,2.5,33.6,2,WilsCe00
1791,Patrick Crayton,DAL,27,WR,2006,16,7,48,36,75.00%,516,14.3,4,28,62.5,53,10.8,2.3,32.3,1,CrayPa00
1792,Chris Henry,CIN,23,WR,2006,13,4,75,36,48.00%,605,16.8,9,26,42.7,71,8.1,2.8,46.5,0,HenrCh00
1793,Keenan McCardell,SDG,36,WR,2006,14,11,51,36,70.60%,437,12.1,0,24,62.7,28,8.6,2.6,31.2,2,McCaKe00
1794,Ernest Wilford,JAX,27,WR,2006,16,12,74,36,48.60%,524,14.6,2,27,41.9,41,7.1,2.3,32.8,1,WilfEr00
1795,Nate Washington,PIT,23,WR,2006,16,2,69,35,50.70%,624,17.8,4,28,46.4,49,9,2.2,39,0,WashNa00
1796,Ike Hilliard,TAM,30,WR,2006,16,0,55,34,61.80%,339,10,2,19,41.8,44,6.2,2.1,21.2,3,HillIk00
1797,Josh Reed,BUF,26,WR,2006,13,1,48,34,70.80%,410,12.1,2,21,45.8,52,8.5,2.6,31.5,0,ReedJo01
1798,Michael Clayton,TAM,24,WR,2006,12,9,65,33,50.80%,356,10.8,1,22,41.5,27,5.5,2.8,29.7,2,ClayMi00
1799,Bobby Wade,TEN,25,WR,2006,16,2,58,33,56.90%,461,14,2,22,50,25,7.9,2.1,28.8,2,WadeBo00
1800,Devery Henderson,NOR,24,WR,2006,13,7,54,32,59.30%,745,23.3,5,28,53.7,76,13.8,2.5,57.3,0,HendDe00
1801,Antwaan Randle El,WAS,27,WR,2006,16,16,63,32,50.80%,351,11,3,20,46,34,5.6,2,21.9,2,RandAn00
1802,Amani Toomer,NYG,32,WR,2006,8,8,43,32,74.40%,360,11.3,3,22,69.8,44,8.4,4,45,0,ToomAm00
1803,Doug Gabriel,2TM,26,WR,2006,15,5,54,30,55.60%,428,14.3,3,0,0,45,7.9,2,28.5,1,GabrDo00
1804,Roddy White,ATL,25,WR,2006,16,5,65,30,46.20%,506,16.9,0,18,36.9,55,7.8,1.9,31.6,1,WhitRo00
1805,Marcus Robinson,MIN,31,WR,2006,10,3,58,29,50.00%,381,13.1,4,20,43.1,40,6.6,2.9,38.1,2,RobiMa00
1806,Drew Carter,CAR,25,WR,2006,14,2,51,28,54.90%,357,12.8,3,14,43.1,42,7,2,25.5,0,CartDr00
1807,Ashley Lelie,ATL,26,WR,2006,15,10,68,28,41.20%,430,15.4,1,22,38.2,51,6.3,1.9,28.7,0,LeliAs00
1808,Vincent Jackson,SDG,23,WR,2006,16,7,56,27,48.20%,453,16.8,6,18,39.3,55,8.1,1.7,28.3,0,JackVi00
1809,Brandon Jones,TEN,24,WR,2006,16,10,53,27,50.90%,384,14.2,4,21,45.3,53,7.2,1.7,24,0,JoneBr02
1810,Alvis Whitted,OAK,32,WR,2006,14,13,63,27,42.90%,299,11.1,0,17,34.9,33,4.7,1.9,21.4,1,WhitAl00
1811,Dante Hall,KAN,28,WR,2006,15,0,40,26,65.00%,204,7.8,2,15,50,19,5.1,1.7,13.6,2,HallDa00
1812,Bobby Engram,SEA,33,WR,2006,7,6,36,24,66.70%,290,12.1,1,15,58.3,25,8.1,3.4,41.4,0,EngrBo00
1813,Greg Lewis,PHI,26,WR,2006,16,3,34,24,70.60%,348,14.5,2,20,64.7,45,10.2,1.5,21.8,1,LewiGr01
1814,Terrance Copper,NOR,24,WR,2006,15,4,42,23,54.80%,385,16.7,3,17,52.4,48,9.2,1.5,25.7,2,CoppTe00
1815,Brandon Lloyd,WAS,25,WR,2006,15,12,57,23,40.40%,365,15.9,0,16,36.8,52,6.4,1.5,24.3,1,LloyBr00
1816,Justin McCareins,NYJ,28,WR,2006,16,7,40,23,57.50%,347,15.1,1,12,45,50,8.7,1.4,21.7,1,McCaJu00
1817,Billy McMullen,MIN,26,WR,2006,16,0,42,23,54.80%,307,13.3,2,14,45.2,40,7.3,1.4,19.2,0,McMuBi00
1818,Roscoe Parrish,BUF,24,WR,2006,16,1,40,23,57.50%,320,13.9,2,11,42.5,51,8,1.4,20,2,ParrRo00
1819,Troy Walters,ARI,30,WR,2006,15,3,35,23,65.70%,209,9.1,2,13,54.3,26,6,1.5,13.9,3,WaltTr00
1820,Hank Baskett,PHI,24,WR,2006,16,5,42,22,52.40%,464,21.1,2,17,47.6,89,11,1.4,29,0,BaskHa00
1821,Tim Carter,NYG,27,WR,2006,16,8,48,22,45.80%,253,11.5,2,12,39.6,27,5.3,1.4,15.8,1,CartTi00
1822,Rashied Davis,CHI,27,WR,2006,16,2,56,22,39.30%,303,13.8,2,16,32.1,31,5.4,1.4,18.9,1,DaviRa00
1823,Dennis Northcutt,CLE,29,WR,2006,13,6,45,22,48.90%,228,10.4,0,10,35.6,43,5.1,1.7,17.5,1,NortDe00
1824,Demetrius Williams,BAL,23,WR,2006,16,0,45,22,48.90%,396,18,2,18,40,77,8.8,1.4,24.8,0,WillDe03
1825,Derek Hagan,MIA,22,WR,2006,16,0,37,21,56.80%,221,10.5,1,13,48.6,24,6,1.3,13.8,0,HagaDe00
1826,Ruvell Martin,GNB,24,WR,2006,13,3,43,21,48.80%,358,17,1,16,44.2,36,8.3,1.6,27.5,0,MartRu00
1827,Brandon Marshall,DEN,22,WR,2006,15,1,37,20,54.10%,309,15.5,2,13,45.9,71,8.4,1.3,20.6,1,MarsBr00
1828,David Tyree,NYG,26,WR,2006,16,1,33,19,57.60%,197,10.4,2,10,42.4,33,6,1.2,12.3,0,TyreDa00
1829,Nate Burleson,SEA,25,WR,2006,16,7,37,18,48.60%,192,10.7,2,9,40.5,36,5.2,1.1,12,2,BurlNa00
1830,Az-Zahir Hakim,DET,29,WR,2006,6,0,27,17,63.00%,147,8.6,0,7,51.9,23,5.4,2.8,24.5,0,HakiAz00
1831,Kevin Walter,HOU,25,WR,2006,16,2,21,17,81.00%,160,9.4,0,12,61.9,15,7.6,1.1,10,1,WaltKe00
1832,Tim Dwight,NYJ,31,WR,2006,9,2,19,16,84.20%,112,7,0,7,57.9,15,5.9,1.8,12.4,1,DwigTi00
1833,Malcom Floyd,SDG,25,WR,2006,12,0,32,15,46.90%,210,14,3,9,37.5,46,6.6,1.3,17.5,0,FloyMa00
1834,Corey Bradford,DET,31,WR,2006,9,2,25,14,56.00%,164,11.7,0,9,56,23,6.6,1.6,18.2,1,BradCo00
1835,Mark Bradley,CHI,24,WR,2006,10,0,23,14,60.90%,282,20.1,3,11,52.2,75,12.3,1.4,28.2,0,BradMa00
1836,Chad Jackson,NWE,21,WR,2006,12,1,19,13,68.40%,152,11.7,3,6,47.4,35,8,1.1,12.7,0,JackCh00
1837,Shaun McDonald,STL,25,WR,2006,16,0,19,13,68.40%,136,10.5,1,6,47.4,28,7.2,0.8,8.5,2,McDoSh00
1838,James Thrash,WAS,31,WR,2006,16,0,20,12,60.00%,151,12.6,1,9,60,27,7.6,0.8,9.4,0,ThraJa00
1839,Jabar Gaffney,NWE,26,WR,2006,11,6,20,11,55.00%,142,12.9,1,9,45,33,7.1,1,12.9,0,GaffJa00
1840,John Madsen,OAK,23,WR,2006,15,1,19,11,57.90%,146,13.3,1,4,42.1,57,7.7,0.7,9.7,0,MadsJo00
1841,Josh Cribbs,CLE,23,WR,2006,16,1,15,10,66.70%,91,9.1,0,4,40,14,6.1,0.6,5.7,3,CribJo01
1842,Carlyle Holiday,2TM,25,WR,2006,8,2,18,9,50.00%,126,14,0,0,0,35,7,1.1,15.8,0,HoliCa00
1843,Bethel Johnson,MIN,27,WR,2006,11,2,19,9,47.40%,156,17.3,0,6,42.1,40,8.2,0.8,14.2,1,JohnBe00
1844,David Kircus,DEN,26,WR,2006,16,0,27,9,33.30%,187,20.8,0,9,33.3,45,6.9,0.6,11.7,0,KircDa00
1845,Michael Robinson,SFO,23,WR,2006,16,0,12,9,75.00%,47,5.2,0,3,50,12,3.9,0.6,2.9,0,RobiMi00
1846,Brad Smith,NYJ,23,WR,2006,16,3,15,9,60.00%,61,6.8,0,5,46.7,19,4.1,0.6,3.8,1,SmitBr01
1847,Kelley Washington,CIN,27,WR,2006,5,1,12,9,75.00%,115,12.8,1,7,66.7,22,9.6,1.8,23,0,WashKe00
1848,Bryan Gilmore,SFO,28,WR,2006,16,3,31,8,25.80%,150,18.8,1,5,19.4,75,4.8,0.5,9.4,1,GilmBr00
1849,David Givens,TEN,26,WR,2006,5,5,20,8,40.00%,104,13,0,5,30,27,5.2,1.6,20.8,0,GiveDa00
1850,Aaron Moorehead,IND,26,WR,2006,12,0,16,8,50.00%,82,10.3,1,5,43.8,36,5.1,0.7,6.8,0,MoorAa00
1851,Brandon Stokley,IND,30,WR,2006,4,1,11,8,72.70%,85,10.6,1,3,54.5,23,7.7,2,21.3,0,StokBr00
1852,Mike Williams,DET,22,WR,2006,8,2,18,8,44.40%,99,12.4,1,5,33.3,21,5.5,1,12.4,0,WillMi03
1853,Roydell Williams,TEN,25,WR,2006,14,0,21,8,38.10%,121,15.1,0,6,38.1,20,5.8,0.6,8.6,0,WillRo05
1854,Jason Avant,PHI,23,WR,2006,8,3,14,7,50.00%,68,9.7,1,5,42.9,18,4.9,0.9,8.5,1,AvanJa00
1855,Johnnie Morant,OAK,25,WR,2006,10,2,12,7,58.30%,70,10,0,3,50,18,5.8,0.7,7,2,MoraJo00
1856,Koren Robinson,GNB,26,WR,2006,4,0,16,7,43.80%,89,12.7,0,6,43.8,24,5.6,1.8,22.3,0,RobiKo00
1857,Maurice Stovall,TAM,21,WR,2006,9,2,13,7,53.80%,102,14.6,0,4,46.2,27,7.8,0.8,11.3,0,StovMa00
1858,Jamal Jones,NOR,25,WR,2006,12,1,10,6,60.00%,108,18,1,3,50,41,10.8,0.5,9,0,JoneJa02
1859,Keary Colbert,CAR,24,WR,2006,12,3,12,5,41.70%,56,11.2,0,4,33.3,16,4.7,0.4,4.7,0,ColbKe00
1860,Robert Ferguson,GNB,27,WR,2006,4,1,13,5,38.50%,31,6.2,1,2,23.1,10,2.4,1.3,7.8,0,FergRo00
1861,Cortez Hankton,JAX,25,WR,2006,12,1,11,5,45.50%,48,9.6,0,4,36.4,15,4.4,0.4,4,0,HankCo00
1862,Sam Hurd,DAL,21,WR,2006,15,2,11,5,45.50%,75,15,0,2,45.5,33,6.8,0.3,5,0,HurdSa00
1863,Nate Jackson,DEN,27,WR,2006,11,0,6,5,83.30%,49,9.8,0,1,50,24,8.2,0.5,4.5,0,JackNa00
1864,Michael Jennings,NYG,27,WR,2006,8,0,8,5,62.50%,49,9.8,0,2,37.5,20,6.1,0.6,6.1,0,JennMi00
1865,Sinorice Moss,NYG,23,WR,2006,6,0,10,5,50.00%,25,5,0,1,30,10,2.5,0.8,4.2,0,MossSi00
1866,Tab Perry,CIN,24,WR,2006,2,0,6,5,83.30%,81,16.2,0,3,50,30,13.5,2.5,40.5,0,PerrTa00
1867,Paris Warren,TAM,24,WR,2006,8,0,7,5,71.40%,63,12.6,0,2,57.1,26,9,0.6,7.9,0,WarrPa00
1868,Devale Ellis,DET,22,WR,2006,9,2,9,4,44.40%,41,10.3,0,2,22.2,19,4.6,0.4,4.6,1,ElliDe00
1869,Justin Gage,CHI,25,WR,2006,8,0,8,4,50.00%,68,17,0,2,37.5,34,8.5,0.5,8.5,1,GageJu00
1870,Taylor Jacobs,SFO,25,WR,2006,8,0,12,4,33.30%,29,7.3,0,2,25,10,2.4,0.5,3.6,0,JacoTa00
1871,Martin Nance,MIN,23,WR,2006,1,1,7,4,57.10%,33,8.3,0,2,42.9,12,4.7,4,33,1,NancMa00
1872,Micheal Spurlock,ARI,23,WR,2006,1,0,4,4,100.00%,31,7.8,0,2,75,15,7.8,4,31,0,SpurMi00
1873,Taye Biddle,CAR,23,WR,2006,2,0,5,3,60.00%,37,12.3,0,1,60,22,7.4,1.5,18.5,0,BiddTa00
1874,Antonio Chatman,CIN,27,WR,2006,3,0,5,3,60.00%,22,7.3,0,2,40,10,4.4,1,7.3,0,ChatAn00
1875,Karl Hankton,CAR,36,WR,2006,16,0,3,3,100.00%,31,10.3,0,2,66.7,18,10.3,0.2,1.9,0,HankKa00
1876,Ricky Proehl,IND,38,WR,2006,2,1,4,3,75.00%,30,10,0,1,75,13,7.5,1.5,15,0,ProeRi00
1877,Edell Shepherd,HOU,26,WR,2006,7,0,4,3,75.00%,22,7.3,0,0,0,8,5.5,0.4,3.1,2,ShepEd00
1878,Jeff Webb,KAN,24,WR,2006,10,0,4,3,75.00%,23,7.7,0,2,75,11,5.8,0.3,2.3,0,WebbJe00
1879,Bam Childress,NWE,24,WR,2006,2,0,2,2,100.00%,7,3.5,0,1,100,5,3.5,1,3.5,0,ChilBr00
1880,Andre' Davis,BUF,27,WR,2006,16,1,7,2,28.60%,13,6.5,0,0,0,8,1.9,0.1,0.8,0,DaviAn01
1881,Eddie Drummond,DET,26,WR,2006,14,0,10,2,20.00%,10,5,0,1,20,8,1,0.1,0.7,4,DrumEd00
1882,Chris Francies,GNB,24,WR,2006,7,0,5,2,40.00%,16,8,0,2,40,12,3.2,0.3,2.3,0,FranCh00
1883,Rod Gardner,KAN,29,WR,2006,14,0,9,2,22.20%,17,8.5,0,1,22.2,13,1.9,0.1,1.2,0,GardRo00
1884,Clarence Moore,BAL,24,WR,2006,10,1,6,2,33.30%,1,0.5,1,1,16.7,4,0.2,0.2,0.1,0,MoorCl00
1885,Sean Morey,PIT,30,WR,2006,16,0,4,2,50.00%,29,14.5,0,2,50,15,7.3,0.1,1.8,1,MoreSe00
1886,Courtney Roby,TEN,23,WR,2006,12,0,7,2,28.60%,28,14,0,1,14.3,21,4,0.2,2.3,0,RobyCo00
1887,Cliff Russell,MIA,27,WR,2006,3,0,2,2,100.00%,14,7,0,1,50,9,7,0.7,4.7,0,RussCl00
1888,Delanie Walker,SFO,22,WR,2006,7,1,4,2,50.00%,30,15,0,1,25,29,7.5,0.3,4.3,0,WalkHu00
1889,Travis Wilson,CLE,22,WR,2006,4,1,6,2,33.30%,32,16,0,2,33.3,16,5.3,0.5,8,0,WilsTr00
1890,James Adkisson,OAK,26,WR,2006,2,0,2,1,50.00%,9,9,0,0,0,9,4.5,0.5,4.5,0,AdkiJa00
1891,David Anderson,HOU,23,WR,2006,9,0,1,1,100.00%,27,27,0,1,100,27,27,0.1,3,0,AndeDa01
1892,Will Buchanon,OAK,23,WR,2006,1,0,1,1,100.00%,9,9,0,1,100,9,9,1,9,0,BuchWi01
1893,Glenn Holt,CIN,22,WR,2006,11,0,2,1,50.00%,3,3,0,0,0,3,1.5,0.1,0.3,0,HoltGl00
1894,Kelvin Kight,NWE,24,WR,2006,4,1,3,1,33.30%,9,9,0,0,0,9,3,0.3,2.3,0,KighKe00
1895,Derrick Lewis,HOU,31,WR,2006,4,0,1,1,100.00%,5,5,0,0,0,5,5,0.3,1.3,0,LewiDe00
1896,Lance Moore,NOR,23,WR,2006,4,0,3,1,33.30%,10,10,0,1,33.3,10,3.3,0.3,2.5,0,MoorLa00
1897,David Patten,WAS,32,WR,2006,5,0,4,1,25.00%,25,25,0,1,25,25,6.3,0.2,5,0,PattDa00
1898,Jerry Porter,OAK,28,WR,2006,4,0,4,1,25.00%,19,19,0,1,25,19,4.8,0.3,4.8,0,PortJe00
1899,Walter Young,PIT,27,WR,2006,2,0,1,1,100.00%,17,17,0,1,100,17,17,0.5,8.5,0,YounWa00
1900,Todd Devoe,DEN,26,WR,2006,1,0,1,0,0.00%,0,,0,0,0,0,0,0,0,,DevoTo00
1901,Adam Jennings,ATL,24,WR,2006,15,0,1,0,0.00%,0,,0,0,0,0,0,0,0,0,JennAd00
1902,Kevin Kasper,DET,29,WR,2006,1,1,1,0,0.00%,0,,0,0,0,0,0,0,0,,KaspKe00
1903,Dane Looker,STL,30,WR,2006,16,0,2,0,0.00%,0,,0,0,0,0,0,0,0,1,LookDa00
1904,Kassim Osgood,SDG,26,WR,2006,16,0,2,0,0.00%,0,,0,0,0,0,0,0,0,,OsgoKa00
1905,Chad Owens,JAX,24,WR,2006,4,0,1,0,0.00%,0,,0,0,0,0,0,0,0,0,OwenCh00
1906,Marcus Vick,MIA,22,WR,2006,1,0,1,0,0.00%,0,,0,0,0,0,0,0,0,,VickMa20
1907,T.J. Houshmandzadeh,CIN,30,WR,2007,16,15,169,112,66.30%,1143,10.2,12,69,56.8,42,6.8,7,71.4,2,HousTJ00
1908,Wes Welker,NWE,26,WR,2007,16,13,145,112,77.20%,1175,10.5,8,65,66.2,42,8.1,7,73.4,3,WelkWe00
1909,Reggie Wayne,IND,29,WR,2007,16,16,156,104,66.70%,1510,14.5,10,72,61.5,64,9.7,6.5,94.4,3,WaynRe00
1910,Derrick Mason,BAL,33,WR,2007,16,16,164,103,62.80%,1087,10.6,5,58,50,79,6.6,6.4,67.9,1,MasoDe00
1911,Brandon Marshall,DEN,23,WR,2007,16,16,170,102,60.00%,1325,13,7,71,52.4,68,7.8,6.4,82.8,3,MarsBr00
1912,Larry Fitzgerald,ARI,24,WR,2007,15,15,167,100,59.90%,1409,14.1,10,70,55.1,48,8.4,6.7,93.9,3,FitzLa00
1913,Marques Colston,NOR,24,WR,2007,16,14,143,98,68.50%,1202,12.3,11,64,61.5,45,8.4,6.1,75.1,1,ColsMa00
1914,Randy Moss,NWE,30,WR,2007,16,16,160,98,61.30%,1493,15.2,23,74,58.8,65,9.3,6.1,93.3,0,MossRa00
1915,Bobby Engram,SEA,34,WR,2007,16,13,134,94,70.10%,1147,12.2,6,62,62.7,49,8.6,5.9,71.7,1,EngrBo00
1916,Torry Holt,STL,31,WR,2007,16,16,149,93,62.40%,1189,12.8,7,62,56.4,40,8,5.8,74.3,2,HoltTo00
1917,Chad Johnson,CIN,29,WR,2007,16,16,161,93,57.80%,1440,15.5,8,74,55.3,70,8.9,5.8,90,2,JohnCh01
1918,Steve Smith Sr.,CAR,28,WR,2007,15,15,148,87,58.80%,1002,11.5,7,45,44.6,74,6.8,5.8,66.8,1,SmitSt01
1919,Roddy White,ATL,26,WR,2007,16,15,137,83,60.60%,1202,14.5,6,52,51.1,69,8.8,5.2,75.1,3,WhitRo00
1920,Jerricho Cotchery,NYJ,25,WR,2007,15,15,127,82,64.60%,1130,13.8,2,50,52,50,8.9,5.5,75.3,1,CotcJe00
1921,Donald Driver,GNB,32,WR,2007,15,14,122,82,67.20%,1048,12.8,2,49,60.7,47,8.6,5.5,69.9,1,DrivDo00
1922,Terrell Owens,DAL,34,WR,2007,15,15,141,81,57.40%,1355,16.7,15,67,54.6,52,9.6,5.4,90.3,0,OwenTe00
1923,Braylon Edwards,CLE,24,WR,2007,16,16,154,80,51.90%,1289,16.1,16,56,48.7,78,8.4,5,80.6,3,EdwaBr00
1924,Shaun McDonald,DET,26,WR,2007,16,7,127,79,62.20%,943,11.9,6,47,53.5,49,7.4,4.9,58.9,3,McDoSh00
1925,Kevin Curtis,PHI,29,WR,2007,16,16,135,77,57.00%,1110,14.4,6,49,51.1,75,8.2,4.8,69.4,0,CurtKe00
1926,Bernard Berrian,CHI,27,WR,2007,16,15,128,71,55.50%,951,13.4,5,48,48.4,59,7.4,4.4,59.4,1,BerrBe00
1927,Anquan Boldin,ARI,27,WR,2007,12,11,99,71,71.70%,853,12,9,43,58.6,44,8.6,5.9,71.1,2,BoldAn00
1928,Hines Ward,PIT,31,WR,2007,13,13,113,71,62.80%,732,10.3,7,47,54.9,25,6.5,5.5,56.3,0,WardHi00
1929,Dwayne Bowe,KAN,23,WR,2007,16,15,116,70,60.30%,995,14.2,5,52,56,58,8.6,4.4,62.2,0,BoweDw00
1930,Plaxico Burress,NYG,30,WR,2007,16,16,141,70,49.60%,1025,14.6,12,50,45.4,60,7.3,4.4,64.1,0,BurrPl00
1931,Chris Chambers,2TM,29,WR,2007,16,12,129,66,51.20%,970,14.7,4,0,0,44,7.5,4.1,60.6,1,ChamCh00
1932,Kevin Walter,HOU,26,WR,2007,16,15,106,65,61.30%,800,12.3,4,43,54.7,46,7.5,4.1,50,0,WaltKe00
1933,Roy Williams,DET,26,WR,2007,12,12,105,64,61.00%,838,13.1,5,34,51.4,91,8,5.3,69.8,2,WillRo04
1934,Ike Hilliard,TAM,31,WR,2007,15,10,86,62,72.10%,722,11.6,1,37,61.6,56,8.4,4.1,48.1,3,HillIk00
1935,Reggie Brown,PHI,26,WR,2007,16,14,111,61,55.00%,780,12.8,4,38,49.5,45,7,3.8,48.8,1,BrowRe01
1936,Mike Furrey,DET,30,WR,2007,16,10,91,61,67.00%,664,10.9,1,37,58.2,49,7.3,3.8,41.5,0,FurrMi00
1937,Santana Moss,WAS,28,WR,2007,14,14,115,61,53.00%,808,13.2,3,43,47,49,7,4.4,57.7,2,MossSa00
1938,Andre Johnson,HOU,26,WR,2007,9,9,86,60,69.80%,851,14.2,8,39,66.3,77,9.9,6.7,94.6,1,JohnAn02
1939,Amani Toomer,NYG,33,WR,2007,16,15,104,59,56.70%,760,12.9,3,42,53.8,40,7.3,3.7,47.5,0,ToomAm00
